category	label	suffix
NFS2/NCR	NCR_NFS2_Chr8g0361201	Chr8g0361201
NCR	NCR31_Chr3g0095571	Chr3g0095571
NCR	NCR38_Chr1g0174951	Chr1g0174951
NCR	NCR51_Chr5g0433121	Chr5g0433121
NCR	NCR117_Chr4g0046481	Chr4g0046481
NCR	NCR169_Chr7g0229931	Chr7g0229931
NCR	NCR211_DNF4_Chr4g0018031	Chr4g0018031
NCR	NCR247_Chr5g0423671	Chr5g0423671
NCR	NCR252_Chr2g0302921	Chr2g0302921
NCR	NCR343_Chr6g0467511	Chr6g0467511
NCR	NCR369_Chr7g0233981	Chr7g0233981
NCR	NCR533_Chr1g0175221	Chr1g0175221
NCR	NCR539_Chr2g0279181	Chr2g0279181
NCR	NCR658_Chr5g0425031	Chr5g0425031
NCR	NCR660_Chr5g0429331	Chr5g0429331
NCR	NCR739_Chr8g0357471	Chr8g0357471
Regulatory	MYB3R1_Chr3g0139671	Chr3g0139671
Regulatory	AUR1_Chr3g0140631	Chr3g0140631
Regulatory	SYFO1_Chr5g0414941	Chr5g0414941
Regulatory	SYFO1L_Chr8g0364331	Chr8g0364331
Regulatory	RPG_Chr1g0197491	Chr1g0197491
Regulatory	NPL_Chr3g0123331	Chr3g0123331
Leghemoglobin	Lb1_Chr5g0435611	Chr5g0435611
Leghemoglobin	Lb2_Chr5g0427351	Chr5g0427351
Leghemoglobin	Lb4_Chr1g0148751	Chr1g0148751
Leghemoglobin	Lb5_Chr5g0417631	Chr5g0417631
Leghemoglobin	Lb6_Chr5g0435621	Chr5g0435621
Leghemoglobin	Lb7_Chr5g0435981	Chr5g0435981
Leghemoglobin	Lb8_Chr1g0197531	Chr1g0197531
Leghemoglobin	Lb9_Chr5g0435991	Chr5g0435991
Leghemoglobin	Lb10_Chr1g0170851	Chr1g0170851
Leghemoglobin	Lb11_Chr7g0270491	Chr7g0270491
Symbiosis	SymCRK_Chr3g0119041	Chr3g0119041
Symbiosis	NAD1_Chr7g0222521	Chr7g0222521
Defense	Rgene_Chr5g0409991	Chr5g0409991
Defense	PR3_Chr3g0145981	Chr3g0145981
Defense	PR5_Chr8g0386351	Chr8g0386351
Defense	PR10_Chr6g0462311	Chr6g0462311
Receptor	LYK3_Chr5g0439631	Chr5g0439631
Receptor	NFP_Chr5g0403371	Chr5g0403371
Receptor	NFRe_Chr5g0439571	Chr5g0439571
