label	category	gene_name	gene_id	acronym	geneProduct	A86_logFC	A256_logFC	A485_logFC	A86256_logFC	A86485_logFC	dnf2_logFC	A86_FDR	A256_FDR	A485_FDR	A86256_FDR	A86485_FDR	dnf2_FDR	A86_sig	A256_sig	A485_sig	A86256_sig	A86485_sig	dnf2_sig
NCR_NFS2_Chr8g0361201	NFS2/NCR	MtrunA17Chr8g0361201	medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0361201	MtNFS2	nitrogen fixation specificity 2|nodule-specific Cysteine-Rich peptide (NCR)	-0.0517089631292288	-0.0290716845321948	-0.982321515427311	-1.31599345604009	1.09489609425841	0.465956016394536	0.999999979788073	1	0.9120170220945	0.455459837472349	1	1	NS	NS	NS	NS	NS	NS
NCR31_Chr3g0095571	NCR	MtrunA17Chr3g0095571	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0095571	MtNCR031	Nodule-specific Cysteine-Rich peptide	0.247520758567052	-0.117759657076973	-1.2816403901791	-1.21628405314964	1.50099250325093	0.94336514289924	0.999999979788073	1	0.525820628816402	0.583467439867228	0.421904947212842	1	NS	NS	NS	NS	NS	NS
NCR38_Chr1g0174951	NCR	MtrunA17Chr1g0174951	medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0174951	MtNCR038	Nodule-specific Cysteine-Rich peptide	-0.882316664838128	-2.10003325544507	-1.98740551483943	-2.0280569951972	-2.56614111232149	-3.10948425583126	0.999999979788073	0.00911960434280772	0.0151987101886723	0.0118559798554431	0.00118474072622631	6.42983422165387e-05	NS	DOWN	DOWN	DOWN	DOWN	DOWN
NCR51_Chr5g0433121	NCR	MtrunA17Chr5g0433121	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0433121	MtNCR051	Nodule-specific Cysteine-Rich peptide	-0.65660812964949	-1.59650757319157	-2.2040238465819	-1.98203878832429	1.8230199111947	0.524175740524041	0.999999979788073	0.280017412718388	0.0514701608688199	0.0875207514562753	0.153220682473626	1	NS	NS	NS	NS	NS	NS
NCR117_Chr4g0046481	NCR	MtrunA17Chr4g0046481	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0046481	MtNCR117	Nodule-specific Cysteine-Rich peptide	0.3573329973354	-0.718119499617213	-1.34973569660061	-1.86925635523901	1.38696655852099	0.363234894544073	0.999999979788073	1	0.394844931293728	0.0720587997742857	0.399013326144785	1	NS	NS	NS	NS	NS	NS
NCR169_Chr7g0229931	NCR	MtrunA17Chr7g0229931	medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0229931	MtNCR169	Nodule-specific Cysteine-Rich peptide (corresponds to dnf7 mutation)	0.0437575086757356	-0.208275175353304	-0.113712810329411	-0.41119154328342	-2.75585990691513	-3.00100425138605	0.999999979788073	1	1	1	0.00197790958806143	0.000366364539914807	NS	NS	NS	NS	DOWN	DOWN
NCR211_DNF4_Chr4g0018031	NCR	MtrunA17Chr4g0018031	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0018031	MtNCR211	Nodule-specific Cysteine-Rich peptide	0.42999282526607	0.00252888225687708	-0.387867406261995	-0.0596458375245874	0.462883188400499	-0.679528911929108	0.999999979788073	1	1	1	1	1	NS	NS	NS	NS	NS	NS
NCR247_Chr5g0423671	NCR	MtrunA17Chr5g0423671	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0423671	MtNCR247	Nodule-specific Cysteine-Rich peptide	-1.23381239426236	-1.75290926406157	-1.82824031367033	-1.81796769389405	-0.0679955753658	-1.10263437618805	0.792598196123873	0.0504643779038073	0.0328721063573248	0.0328104437218039	1	0.717608320372274	NS	NS	DOWN	DOWN	NS	NS
NCR252_Chr2g0302921	NCR	MtrunA17Chr2g0302921	medtr.A17.gnm5.ann1_6.MtrunA17Chr2g0302921	MtNCR252	Nodule-specific Cysteine-Rich peptide	-0.15888331343032	-1.10086675231582	-1.74885495891508	-1.58430824373118	1.61099569252061	0.476148847198491	0.999999979788073	0.774732082081711	0.155665087650376	0.227278340508801	0.22518124862095	1	NS	NS	NS	NS	NS	NS
NCR343_Chr6g0467511	NCR	MtrunA17Chr6g0467511	medtr.A17.gnm5.ann1_6.MtrunA17Chr6g0467511	MtNCR343	Nodule-specific Cysteine-Rich peptide	-0.517260271688499	-1.49284130247574	-1.22310414306411	-1.33508200284628	-1.66194276384501	-1.41184504343474	0.999999979788073	0.164684067967427	0.464770166334631	0.291782266267367	0.0963193649760397	0.216792851209941	NS	NS	NS	NS	NS	NS
