ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	Count	geneSymbols	geneID	RichFactor	FoldEnrichment	zScore
BP	GO:0015671	oxygen transport	7/256	17/14453	8.42566618251156e-09	1.50819424666957e-06	1.37471395609399e-06	7	MtLb2|MtLb6|MtLb1/MtLb4|MtLb1|MtLb2/MtLb1|MtLb7/MtLb6|MtLb8/MtLb5/MtLb7|MtLb10/MtLb10|MtLb2	MtrunA17_Chr5g0427351/MtrunA17_Chr1g0148751/MtrunA17_Chr5g0435611/MtrunA17_Chr5g0435621/MtrunA17_Chr5g0417631/MtrunA17_Chr5g0435981/MtrunA17_Chr1g0170851	0.411764705882353	23.2470128676471	12.3241903630781
BP	GO:0006278	RNA-templated DNA biosynthetic process	14/256	122/14453	3.26962574969732e-08	2.9263150459791e-06	2.66732626948992e-06	14	MtrunA17Chr2g0295981/MtrunA17Chr6g0450501/MtrunA17Chr6g0476561/MtrunA17Chr3g0132221/MtrunA17Chr4g0029891/MtrunA17Chr2g0333651/MtrunA17Chr7g0231281/MtrunA17Chr4g0027911/MtrunA17Chr7g0231251/MtrunA17Chr3g0099521/MtrunA17Chr1g0168141/MtrunA17Chr1g0179291/MtrunA17Chr6g0475051/MtrunA17Chr5g0415141	MtrunA17_Chr2g0295981/MtrunA17_Chr6g0450501/MtrunA17_Chr6g0476561/MtrunA17_Chr3g0132221/MtrunA17_Chr4g0029891/MtrunA17_Chr2g0333651/MtrunA17_Chr7g0231281/MtrunA17_Chr4g0027911/MtrunA17_Chr7g0231251/MtrunA17_Chr3g0099521/MtrunA17_Chr1g0168141/MtrunA17_Chr1g0179291/MtrunA17_Chr6g0475051/MtrunA17_Chr5g0415141	0.114754098360656	6.47867571721312	8.16023997457551
MF	GO:0005344	oxygen carrier activity	7/519	17/17556	2.84984779979752e-07	4.65840317325024e-05	4.54478358365877e-05	7	MtLb2|MtLb6|MtLb1/MtLb4|MtLb1|MtLb2/MtLb1|MtLb7/MtLb6|MtLb8/MtLb5/MtLb7|MtLb10/MtLb10|MtLb2	MtrunA17_Chr5g0427351/MtrunA17_Chr1g0148751/MtrunA17_Chr5g0435611/MtrunA17_Chr5g0435621/MtrunA17_Chr5g0417631/MtrunA17_Chr5g0435981/MtrunA17_Chr1g0170851	0.411764705882353	13.9285957157429	9.30809775810903
MF	GO:0019825	oxygen binding	7/519	18/17556	4.54478358365877e-07	4.65840317325024e-05	4.54478358365877e-05	7	MtLb2|MtLb6|MtLb1/MtLb4|MtLb1|MtLb2/MtLb1|MtLb7/MtLb6|MtLb8/MtLb5/MtLb7|MtLb10/MtLb10|MtLb2	MtrunA17_Chr5g0427351/MtrunA17_Chr1g0148751/MtrunA17_Chr5g0435611/MtrunA17_Chr5g0435621/MtrunA17_Chr5g0417631/MtrunA17_Chr5g0435981/MtrunA17_Chr1g0170851	0.388888888888889	13.1547848426461	9.00494427033105
MF	GO:0003964	RNA-directed DNA polymerase activity	14/519	122/17556	1.50075207254774e-05	0.00102551391624096	0.00100050138169849	14	MtrunA17Chr2g0295981/MtrunA17Chr6g0450501/MtrunA17Chr6g0476561/MtrunA17Chr3g0132221/MtrunA17Chr4g0029891/MtrunA17Chr2g0333651/MtrunA17Chr7g0231281/MtrunA17Chr4g0027911/MtrunA17Chr7g0231251/MtrunA17Chr3g0099521/MtrunA17Chr1g0168141/MtrunA17Chr1g0179291/MtrunA17Chr6g0475051/MtrunA17Chr5g0415141	MtrunA17_Chr2g0295981/MtrunA17_Chr6g0450501/MtrunA17_Chr6g0476561/MtrunA17_Chr3g0132221/MtrunA17_Chr4g0029891/MtrunA17_Chr2g0333651/MtrunA17_Chr7g0231281/MtrunA17_Chr4g0027911/MtrunA17_Chr7g0231251/MtrunA17_Chr3g0099521/MtrunA17_Chr1g0168141/MtrunA17_Chr1g0179291/MtrunA17_Chr6g0475051/MtrunA17_Chr5g0415141	0.114754098360656	3.88173978963328	5.57472812071207
BP	GO:0015074	DNA integration	8/256	71/14453	3.52486957648129e-05	0.00210317218063384	0.00191703433106877	8	MtrunA17Chr6g0476561/MtrunA17Chr4g0022231/MtrunA17Chr3g0102931/MtrunA17Chr2g0306441/MtrunA17Chr6g0474221/MtrunA17Chr4g0004391/MtrunA17Chr4g0027911/MtrunA17Chr6g0475051	MtrunA17_Chr6g0476561/MtrunA17_Chr4g0022231/MtrunA17_Chr3g0102931/MtrunA17_Chr2g0306441/MtrunA17_Chr6g0474221/MtrunA17_Chr4g0004391/MtrunA17_Chr4g0027911/MtrunA17_Chr6g0475051	0.112676056338028	6.36135563380282	6.08106738972438
MF	GO:0004523	RNA-DNA hybrid ribonuclease activity	12/519	115/17556	0.000152667112076855	0.00782418949393882	0.00763335560384275	12	MtrunA17Chr2g0295981/MtrunA17Chr4g0059731/MtrunA17Chr3g0132221/MtrunA17Chr4g0022231/MtrunA17Chr4g0005771/MtrunA17Chr2g0306441/MtrunA17Chr1g0180641/MtrunA17Chr4g0027911/MtrunA17Chr7g0231251/MtrunA17Chr1g0166861/MtrunA17Chr6g0450371/MtrunA17Chr6g0475051	MtrunA17_Chr2g0295981/MtrunA17_Chr4g0059731/MtrunA17_Chr3g0132221/MtrunA17_Chr4g0022231/MtrunA17_Chr4g0005771/MtrunA17_Chr2g0306441/MtrunA17_Chr1g0180641/MtrunA17_Chr4g0027911/MtrunA17_Chr7g0231251/MtrunA17_Chr1g0166861/MtrunA17_Chr6g0450371/MtrunA17_Chr6g0475051	0.104347826086957	3.52973108821312	4.7503446628076
CC	GO:0031012	extracellular matrix	3/181	9/11396	0.000308519308663216	0.0132663302725183	0.0129902866805565	3	MtrunA17Chr5g0414771/MtrunA17Chr5g0414661/MtrunA17Chr7g0246461	MtrunA17_Chr5g0414771/MtrunA17_Chr5g0414661/MtrunA17_Chr7g0246461	0.333333333333333	20.9871086556169	7.62014755565714
BP	GO:0009686	gibberellin biosynthetic process	3/256	12/14453	0.00107339797346475	0.0480345593125477	0.0437833383913254	3	MtrunA17Chr8g0370481/MtrunA17Chr6g0471761/MtGA20ox5	MtrunA17_Chr8g0370481/MtrunA17_Chr6g0471761/MtrunA17_Chr3g0130391	0.25	14.1142578125	6.102690907916
BP	GO:0034755	iron ion transmembrane transport	3/256	14/14453	0.00173001844379379	0.0619346602878176	0.0564532334290605	3	MtrunA17Chr4g0050831/MtFPN3/MtrunA17Chr6g0479471	MtrunA17_Chr4g0050831/MtrunA17_Chr4g0004881/MtrunA17_Chr6g0479471	0.214285714285714	12.0979352678571	5.5785754967158
