Intersection	n_genes	Direction
dnf2	602	UP
A256&A485&A86256	384	UP
A86&A256&A485&A86256	232	UP
A485&A86256	205	UP
A86256	192	UP
A86485	168	UP
A256	131	UP
A485	85	UP
A86&A256&A485&A86256&dnf2	85	UP
A86485&dnf2	85	UP
A256&A485&A86256&dnf2	84	UP
A256&A485	72	UP
A485&A86256&dnf2	36	UP
A86&A256	36	UP
A256&A86256	30	UP
A485&dnf2	28	UP
A86&A256&A485	26	UP
A86	21	UP
A256&A485&dnf2	20	UP
A256&dnf2	18	UP
A86256&dnf2	18	UP
A86&A256&A485&dnf2	8	UP
A256&A485&A86256&A86485&dnf2	6	UP
A86&A256&A485&A86256&A86485&dnf2	6	UP
A86&A256&A86256	6	UP
A86&A256&dnf2	6	UP
A86&A485&A86256	6	UP
A256&A86256&dnf2	4	UP
A256&A485&A86256&A86485	3	UP
A256&A86485&dnf2	2	UP
A485&A86256&A86485&dnf2	2	UP
A86&A86256	2	UP
A86256&A86485&dnf2	2	UP
A256&A485&A86485	1	UP
A256&A485&A86485&dnf2	1	UP
A485&A86485&dnf2	1	UP
A86&A256&A86256&dnf2	1	UP
A86&A485	1	UP
A86&A86485&dnf2	1	UP
A86&dnf2	1	UP
A86256&A86485	1	UP
A86485&dnf2	772	DOWN
dnf2	628	DOWN
A256&A485&A86256	289	DOWN
A86256	233	DOWN
A256	210	DOWN
A485&A86256	196	DOWN
A86485	152	DOWN
A485	128	DOWN
A86&A256&A485&A86256	112	DOWN
A256&A485	70	DOWN
A256&A485&A86256&A86485&dnf2	60	DOWN
A256&A86256	48	DOWN
A86256&A86485&dnf2	36	DOWN
A86&A256&A485	30	DOWN
A256&A485&A86256&dnf2	27	DOWN
A256&A86256&A86485&dnf2	22	DOWN
A485&A86256&A86485&dnf2	21	DOWN
A256&dnf2	19	DOWN
A86256&dnf2	18	DOWN
A485&A86256&dnf2	17	DOWN
A86&A256	15	DOWN
A256&A86485&dnf2	13	DOWN
A485&A86485&dnf2	11	DOWN
A485&dnf2	11	DOWN
A86	11	DOWN
A86&A256&A485&A86256&A86485&dnf2	9	DOWN
A256&A485&A86485&dnf2	8	DOWN
A256&A485&dnf2	6	DOWN
A256&A86485	6	DOWN
A86&A485&A86256	6	DOWN
A86&A256&A86256	5	DOWN
A485&A86256&A86485	4	DOWN
A256&A485&A86256&A86485	3	DOWN
A256&A86256&dnf2	2	DOWN
A485&A86485	2	DOWN
A86&A256&A485&A86256&dnf2	2	DOWN
A86&A485	2	DOWN
A86&A86256	2	DOWN
A256&A485&A86485	1	DOWN
A86&A256&A86256&A86485&dnf2	1	DOWN
A86&A256&dnf2	1	DOWN
A86&A86256&A86485&dnf2	1	DOWN
