ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	geneSymbols
map00910	Nitrogen metabolism	6/72	36/5968	0.166666666666667	13.8148148148148	8.52174517819293	3.653177133201e-06	0.000452993964516924	0.000442226705598015	MtrunA17_Chr1g0178591/MtrunA17_Chr7g0257091/MtrunA17_Chr4g0044831/MtrunA17_Chr6g0479141/MtrunA17_Chr4g0028551/MtrunA17_Chr1g0157851	6	MtrunA17Chr1g0178591/MtrunA17Chr7g0257091/MtrunA17Chr4g0044831/MtGS1a/MtNRT2.1/MtrunA17Chr1g0157851
map00250	Alanine, aspartate and glutamate metabolism	5/72	50/5968	0.1	8.28888888888889	5.71905642535709	0.000308613964802507	0.0191340658177554	0.0186792662906781	MtrunA17_Chr3g0105311/MtrunA17_Chr5g0430381/MtrunA17_Chr1g0149721/MtrunA17_Chr6g0479141/MtrunA17_Chr1g0157851	5	MtrunA17Chr3g0105311/MtrunA17Chr5g0430381/MtrunA17Chr1g0149721/MtGS1a/MtrunA17Chr1g0157851
map00500	Starch and sucrose metabolism	7/72	151/5968	0.0463576158940397	3.84253127299485	3.90939652753531	0.00214721125003433	0.0887513983347523	0.0866418574575256	MtrunA17_Chr4g0062771/MtrunA17_Chr3g0096241/MtrunA17_Chr4g0033231/MtrunA17_Chr1g0157251/MtrunA17_Chr4g0056481/MtrunA17_Chr3g0129201/MtrunA17_Chr8g0382441	7	MtBG44/MtrunA17Chr3g0096241/MtrunA17Chr4g0033231/MtrunA17Chr1g0157251/MtrunA17Chr4g0056481/MtrunA17Chr3g0129201/MtrunA17Chr8g0382441
map00680	Methane metabolism	4/72	54/5968	0.0740740740740741	6.13991769547325	4.19254675284146	0.00390830903293453	0.12115758002097	0.118277773365124	MtrunA17_Chr2g0330871/MtrunA17_Chr3g0115581/MtrunA17_Chr1g0179211/MtrunA17_Chr2g0315891	4	MtrunA17Chr2g0330871/MtrunA17Chr3g0115581/MtrunA17Chr1g0179211/MtrunA17Chr2g0315891
map00730	Thiamine metabolism	2/72	21/5968	0.0952380952380952	7.89417989417989	3.49710618566315	0.0259978393480252	0.550830532987932	0.537737786872769	MtrunA17_Chr4g0041841/MtrunA17_Chr4g0057771	2	MtrunA17Chr4g0041841/MtrunA17Chr4g0057771
map00270	Cysteine and methionine metabolism	4/72	112/5968	0.0357142857142857	2.96031746031746	2.31419747376941	0.0456568410713476	0.550830532987932	0.537737786872769	MtrunA17_Chr1g0205381/MtrunA17_Chr1g0149721/MtrunA17_Chr4g0069201/MtrunA17_Chr3g0101841	4	MtrunA17Chr1g0205381/MtrunA17Chr1g0149721/MtrunA17Chr4g0069201/MtrunA17Chr3g0101841
map00543	Exopolysaccharide biosynthesis	1/72	4/5968	0.25	20.7222222222222	4.35996051240185	0.0474027848465973	0.550830532987932	0.537737786872769	MtrunA17_Chr3g0101841	1	MtrunA17Chr3g0101841
map01310	Nitrogen cycle	1/72	4/5968	0.25	20.7222222222222	4.35996051240185	0.0474027848465973	0.550830532987932	0.537737786872769	MtrunA17_Chr4g0044831	1	MtrunA17Chr4g0044831
map05111	Biofilm formation - Vibrio cholerae	1/72	4/5968	0.25	20.7222222222222	4.35996051240185	0.0474027848465973	0.550830532987932	0.537737786872769	MtrunA17_Chr3g0101841	1	MtrunA17Chr3g0101841
map04814	Motor proteins	3/72	69/5968	0.0434782608695652	3.60386473429952	2.4039160480217	0.0501040085582026	0.550830532987932	0.537737786872769	MtrunA17_Chr1g0175391/MtrunA17_Chr8g0372171/MtrunA17_Chr4g0008361	3	MtrunA17Chr1g0175391/MtrunA17Chr8g0372171/MtrunA17Chr4g0008361
