library_name	sample_alias	host_genotype	strain	replicate	ERS	ERR	ERX	PRJEB
WT_1	MtrDNF2_WT_1	WT	WT	1	ERS31306659	ERR17869066	ERX17259607	PRJEB126112
WT_2	MtrDNF2_WT_2	WT	WT	2	ERS31306660	ERR17869067	ERX17259608	PRJEB126112
WT_3	MtrDNF2_WT_3	WT	WT	3	ERS31306661	ERR17869068	ERX17259609	PRJEB126112
dnf2_1	MtrDNF2_dnf2_1	dnf2	WT	1	ERS31306662	ERR17869063	ERX17259604	PRJEB126112
dnf2_2	MtrDNF2_dnf2_2	dnf2	WT	2	ERS31306663	ERR17869064	ERX17259605	PRJEB126112
dnf2_3	MtrDNF2_dnf2_3	dnf2	WT	3	ERS31306664	ERR17869065	ERX17259606	PRJEB126112
A86_1	MtrDNF2_A86_1	WT	d-rsp86	1	ERS31306665	ERR17869054	ERX17259595	PRJEB126112
A86_2	MtrDNF2_A86_2	WT	d-rsp86	2	ERS31306666	ERR17869055	ERX17259596	PRJEB126112
A86_3	MtrDNF2_A86_3	WT	d-rsp86	3	ERS31306667	ERR17869059	ERX17259600	PRJEB126112
A256_1	MtrDNF2_A256_1	WT	d-rsp256	1	ERS31306668	ERR17869048	ERX17259589	PRJEB126112
A256_2	MtrDNF2_A256_2	WT	d-rsp256	2	ERS31306669	ERR17869049	ERX17259590	PRJEB126112
A256_3	MtrDNF2_A256_3	WT	d-rsp256	3	ERS31306670	ERR17869050	ERX17259591	PRJEB126112
A485_1	MtrDNF2_A485_1	WT	d-rsp485	1	ERS31306671	ERR17869051	ERX17259592	PRJEB126112
A485_2	MtrDNF2_A485_2	WT	d-rsp485	2	ERS31306672	ERR17869052	ERX17259593	PRJEB126112
A485_3	MtrDNF2_A485_3	WT	d-rsp485	3	ERS31306673	ERR17869053	ERX17259594	PRJEB126112
A86256_1	MtrDNF2_A86256_1	WT	d-rsp86 d-rsp256	1	ERS31306674	ERR17869056	ERX17259597	PRJEB126112
A86256_2	MtrDNF2_A86256_2	WT	d-rsp86 d-rsp256	2	ERS31306675	ERR17869057	ERX17259598	PRJEB126112
A86256_3	MtrDNF2_A86256_3	WT	d-rsp86 d-rsp256	3	ERS31306676	ERR17869058	ERX17259599	PRJEB126112
A86485_1	MtrDNF2_A86485_1	WT	d-rsp86 d-rsp485	1	ERS31306677	ERR17869060	ERX17259601	PRJEB126112
A86485_2	MtrDNF2_A86485_2	WT	d-rsp86 d-rsp485	2	ERS31306678	ERR17869061	ERX17259602	PRJEB126112
A86485_3	MtrDNF2_A86485_3	WT	d-rsp86 d-rsp485	3	ERS31306679	ERR17869062	ERX17259603	PRJEB126112
