library_name	sample_alias	host_genotype	strain	replicate	instrument	library_source	library_selection	library_strategy	layout	fq1	fq1_md5	fq1_bytes	fq2	fq2_md5	fq2_bytes	study_accession	sample_accession
WT_1	MtrDNF2_WT_1	WT	WT	1	DNBSEQ-T7	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	WT_1_1.fq.gz	9b252d208b5752b04baf2219ae5208b4	1210192932	WT_1_2.fq.gz	811f0f28b847d24e5b625e531fe3aad8	1218858754	PRJEB126112	ERS31306659
WT_2	MtrDNF2_WT_2	WT	WT	2	DNBSEQ-T7	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	WT_2_1.fq.gz	ea4365bccf1f32b51d8035198db77629	1171490350	WT_2_2.fq.gz	257ba26cf4e10aa74d46d967574e589a	1184654188	PRJEB126112	ERS31306660
WT_3	MtrDNF2_WT_3	WT	WT	3	DNBSEQ-T7	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	WT_3_1.fq.gz	f5b5acf27c00c96d89adfe16d7f0da26	1218365372	WT_3_2.fq.gz	8d55870370ba7b4f7fa8d63817da2478	1229850644	PRJEB126112	ERS31306661
dnf2_1	MtrDNF2_dnf2_1	dnf2	WT	1	DNBSEQ-T7	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	dnf2_1_1.fq.gz	1a967ec8bb95eae80b756ae63745c74f	1298800336	dnf2_1_2.fq.gz	3799c1b9022ef85cc97165b8422b1687	1313696359	PRJEB126112	ERS31306662
dnf2_2	MtrDNF2_dnf2_2	dnf2	WT	2	DNBSEQ-T7	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	dnf2_2_1.fq.gz	e9a5c6245806774228727e4861964809	1251161985	dnf2_2_2.fq.gz	84839084d8d6acd678abcf78d27db472	1269357075	PRJEB126112	ERS31306663
dnf2_3	MtrDNF2_dnf2_3	dnf2	WT	3	DNBSEQ-T7	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	dnf2_3_1.fq.gz	b7e372788417e55dfd32fb999595864f	1153514761	dnf2_3_2.fq.gz	fd47149a35888292b54e0517f0ab0262	1167337192	PRJEB126112	ERS31306664
A86_1	MtrDNF2_A86_1	WT	d-rsp86	1	DNBSEQ-T7	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	A86_1_1.fq.gz	9d0c409b467dc0f750b199cd7523809a	1297150369	A86_1_2.fq.gz	489e6655752bdc33cf3fff1a510accab	1306222549	PRJEB126112	ERS31306665
A86_2	MtrDNF2_A86_2	WT	d-rsp86	2	DNBSEQ-T7	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	A86_2_1.fq.gz	d04fcd05ed4f7c3005c8091190d4ad20	1199405694	A86_2_2.fq.gz	bfdd018f88ea19e7cdc805e1b94a2ad1	1206041120	PRJEB126112	ERS31306666
A86_3	MtrDNF2_A86_3	WT	d-rsp86	3	DNBSEQ-T7	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	A86_3_1.fq.gz	1e5351620281f0bb5fcde5f57e2e20e0	1262087368	A86_3_2.fq.gz	aed2b7d3ff6250e3ad7ae712a72a4632	1270026417	PRJEB126112	ERS31306667
A256_1	MtrDNF2_A256_1	WT	d-rsp256	1	DNBSEQ-T7	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	A256_1_1.fq.gz	8e56d36b12997f84a0806214052e4647	1217801773	A256_1_2.fq.gz	ae873292a55d2a9bbfb866fb2b1d89c8	1224552126	PRJEB126112	ERS31306668
