protein_id	X14d.1	X14d.2	X14d.3	X21d.2	X21d.3	X21d.4	X28d.1	X28d.2	X28d.3
WP_003525578.1	397.355347	395.999176	403.662781	293.380798	285.841919	320.95575	382.858826	360.93866	333.545166
WP_003525631.1	250.262085	243.734528	227.640823	194.478317	167.155716	203.791428	161.885315	170.290665	164.160873
WP_003525901.1	72.408318	73.611038	69.540215	53.153244	50.996296	64.699394	49.899117	65.355278	50.747425
WP_003526223.1	257.906891	297.447021	277.720428	292.450714	283.632538	288.533691	589.191223	561.893005	573.602539
WP_003527124.1	936.590271	904.267273	873.132507	859.175354	820.659363	826.99884	809.81781	851.251648	841.888428
WP_003527142.1	25.892788	28.245939	30.339422	64.113297	41.442604	46.646473	103.238403	88.582642	65.282799
WP_003527204.1	61.134369	64.912064	56.187336	49.251118	61.728348	42.425785	58.737141	78.037117	70.069267
WP_003527304.1	4605.264648	4603.369629	4584.45166	4927.972168	4888.590332	5270.84668	5016.36377	4963.272461	4984.106934
WP_003527318.1	51.883347	40.732857	40.694607	48.727398	61.770161	37.441525	50.223492	25.32692	37.965256
WP_003527360.1	14.473028	8.009602	16.501633	4.463608	14.008436	6.562428	10.661828	19.635233	19.390795
WP_003527365.1	10.288479	12.923448	7.391605	9.435905	7.601562	11.271073	17.492744	12.418919	14.949275
WP_003527415.1	50.176338	39.966248	45.633781	43.197929	61.673683	91.333183	52.124859	52.106617	50.254124
WP_003527577.1	15.544181	11.757101	13.669312	13.040737	13.290552	12.678694	15.055051	21.841507	22.469603
WP_003527588.1	22.778067	27.567776	24.971096	27.730358	22.099615	31.14855	48.934643	48.611221	57.047115
WP_003527719.1	342.556946	345.33783	282.779877	315.70163	290.921265	314.823273	348.370422	305.462311	368.730011
WP_003527931.1	87.732758	114.181129	126.894562	72.028473	75.9963	88.917839	75.278336	92.742378	100.829193
WP_003528049.1	307.432281	297.564056	321.919159	455.967529	488.114258	473.773315	361.140686	388.872864	376.272003
WP_003528236.1	153.597931	131.30899	140.135818	122.808006	139.874313	144.956543	167.409424	146.550125	135.801758
WP_003528572.1	35.209248	28.887218	25.511593	24.507273	21.428022	23.867729	35.482704	24.815359	33.99485
WP_003528667.1	6.210853	5.058099	5.858124	6.849306	4.958122	12.092089	7.168726	5.114846	7.012691
WP_003528900.1	154.529404	187.825836	149.741531	158.359848	142.507141	143.239212	132.960754	137.557663	134.326019
WP_003529108.1	286.85083	269.716522	320.83963	347.992767	348.834625	346.525574	360.947479	317.88446	296.616577
WP_003529156.1	63.713436	69.648216	55.646832	67.796227	58.948742	66.976593	67.209236	44.574448	59.813622
WP_003529163.1	37.508236	33.325115	38.262558	33.310627	23.337893	32.292728	47.573978	37.340916	29.3962
WP_003529193.1	108.978233	95.272888	114.74984	85.452271	67.118057	73.46212	102.301018	126.057999	90.783852
WP_003529250.1	16.63398	12.612789	8.140005	6.777109	21.147451	10.888973	20.566408	11.284497	8.312961
WP_003529261.1	72.254059	82.726273	94.628609	66.95002	79.960823	85.6744	107.657921	108.361954	91.510529
WP_003529293.1	122.313965	132.02739	93.921486	116.39901	105.163124	129.48764	121.774101	121.381859	117.442513
WP_003529302.1	818.987732	934.058594	893.633606	2228.595215	2325.116699	2400.552246	2326.076172	2402.469482	2340.968018
WP_003529314.1	106.468552	119.266273	125.018005	101.649033	101.269485	98.419075	159.343918	160.445969	170.629501
WP_003529436.1	97.175102	99.951332	90.232452	71.970352	67.817863	66.19976	59.035686	62.816299	72.393959
WP_003529619.1	2214.017334	2417.035889	2109.73999	2753.854492	2597.785156	2655.05249	2215.064697	1943.724243	2124.49707
WP_003529654.1	104.972763	107.300598	97.284218	124.553802	136.267471	126.995552	103.866013	141.280441	114.39888
WP_003529687.1	37.485859	43.807487	35.281662	35.660267	31.747896	45.724739	39.659439	43.887032	40.726528
WP_003529690.1	825.098999	884.576904	836.212158	921.360779	955.979614	854.334351	652.24884	690.9245	667.379944
WP_003529696.1	76.39373	81.990036	78.610748	57.94841	64.636482	72.973045	70.157028	88.450722	83.23037
WP_003529782.1	144.29686	142.216843	99.063919	97.486755	77.199402	80.677841	153.09845	219.686859	197.325012
WP_003529787.1	146.437378	127.22319	136.305923	117.998856	127.056915	148.309479	139.615646	138.527954	155.535858
WP_003529888.1	47.716087	51.5741	42.271587	22.400309	26.853039	33.784218	24.945824	30.721197	20.84449
WP_003529892.1	25.086189	26.021849	30.088877	8.851018	9.491214	9.31409	13.102541	13.866107	14.859762
