direction	region	gene_id	gene_name	acronym	geneProduct	chr	strand	start	end	A86_logFC	A86_FDR	A86_sig	dnf2_logFC	dnf2_FDR	dnf2_sig
DOWN	A86_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0387001	MtrunA17Chr8g0387001	MtCYP86A93	Cytochrome P450 monooxygenase	medtr.A17.gnm5.MtrunA17Chr8	-	45195743	45198103	-2.92622516427467	0.0286864814214631	DOWN	-5.74092762699832	0.000203985247891049	DOWN
DOWN	A86_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0424901	MtrunA17Chr5g0424901			medtr.A17.gnm5.MtrunA17Chr5	-	26957445	26959039	-2.12856270449608	0.0270406186845687	DOWN	-5.15249428417651	3.70498520925716e-06	DOWN
DOWN	A86_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0427361	MtrunA17Chr5g0427361			medtr.A17.gnm5.MtrunA17Chr5	-	29188029	29189117	-3.17518214116141	0.00878372101116809	DOWN	-5.14788154876052	2.98679772869621e-05	DOWN
DOWN	A86_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0136211	MtrunA17Chr3g0136211			medtr.A17.gnm5.MtrunA17Chr3	-	51849093	51852903	-2.61803596811663	0.00989208217423088	DOWN	-4.99942194060247	7.81636032777804e-06	DOWN
DOWN	A86_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0107861	MtrunA17Chr3g0107861			medtr.A17.gnm5.MtrunA17Chr3	-	31320858	31321314	-3.21092780762851	0.0410380592979516	DOWN	-4.62252061974883	0.00110883670060763	DOWN
DOWN	A86_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr2g0332651	MtrunA17Chr2g0332651			medtr.A17.gnm5.MtrunA17Chr2	-	50726335	50727010	-2.96088219867967	0.0159314219729066	DOWN	-4.57979372901123	0.000129436761193943	DOWN
DOWN	A86_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0071501	MtrunA17Chr4g0071501			medtr.A17.gnm5.MtrunA17Chr4	+	60815439	60820112	-2.27653078748645	0.0134553960375634	DOWN	-4.45309488391328	5.3414760359047e-06	DOWN
DOWN	A86_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0185751	MtrunA17Chr1g0185751	MtIPT3	isopentenyl transferase	medtr.A17.gnm5.MtrunA17Chr1	+	36099785	36101336	-3.21000627501999	0.0193567530420037	DOWN	-3.72143470854439	0.00140041086201845	DOWN
DOWN	A86_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0071511	MtrunA17Chr4g0071511			medtr.A17.gnm5.MtrunA17Chr4	-	60819104	60819987	-2.04741617418339	0.0346299542373039	DOWN	-3.63013683510789	2.48429137753879e-05	DOWN
DOWN	A86_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0058101	MtrunA17Chr4g0058101			medtr.A17.gnm5.MtrunA17Chr4	+	51175531	51177105	-3.70534444391509	0.00326111434738614	DOWN	-3.11938669268685	0.00147748851558736	DOWN
DOWN	A86_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0440601	MtrunA17Chr5g0440601			medtr.A17.gnm5.MtrunA17Chr5	+	39291593	39293390	-2.19538797806041	0.0177585557322138	DOWN	-2.99758285785548	0.000116496310906554	DOWN
DOWN	A86_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0246461	MtrunA17Chr7g0246461			medtr.A17.gnm5.MtrunA17Chr7	+	35226493	35229627	-2.67190624986015	0.00731575062130689	DOWN	-2.9308513372558	0.00040924329633741	DOWN
DOWN	A86_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0021181	MtrunA17Chr4g0021181			medtr.A17.gnm5.MtrunA17Chr4	+	18120354	18120546	-3.14118523689409	0.0123998768173608	DOWN	-2.73520465130334	0.00468301872290916	DOWN
DOWN	A86_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0025201	MtrunA17Chr4g0025201			medtr.A17.gnm5.MtrunA17Chr4	+	26014294	26020224	-2.06789481008072	0.0131030963017059	DOWN	-1.76452383956704	0.0149578723219992	DOWN
DOWN	A86_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0072781	MtrunA17Chr4g0072781	MtCAPE15|MtPR-1	CAP-derived peptide|pathogenesis-related protein 1  (TC143335)	medtr.A17.gnm5.MtrunA17Chr4	+	61759010	61760162	-2.48858079365682	0.0301101533056152	DOWN	2.69648920607707	0.000479327563339107	UP
DOWN	A86_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0025741	MtrunA17Chr4g0025741			medtr.A17.gnm5.MtrunA17Chr4	-	26648530	26651654	-3.73229773423265	0.0273677156281659	DOWN	2.66481471747376	0.000570441468636032	UP
DOWN	A86_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr2g0282691	MtrunA17Chr2g0282691			medtr.A17.gnm5.MtrunA17Chr2	-	4121463	4122678	-3.0213483766992	0.0451023456226807	DOWN	2.43790488699824	0.00391104863558008	UP
DOWN	A86_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0147221	MtrunA17Chr1g0147221			medtr.A17.gnm5.MtrunA17Chr1	-	919953	925639	-3.36148536092658	0.0388277421661238	DOWN	-2.33708084368546	0.0587626056154756	NS
DOWN	A86_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr2g0328361	MtrunA17Chr2g0328361			medtr.A17.gnm5.MtrunA17Chr2	+	47676865	47678792	-5.46453108862085	0.00625394281792412	DOWN	-2.16341275282458	0.106013216370001	NS
DOWN	A86_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0431581	MtrunA17Chr5g0431581			medtr.A17.gnm5.MtrunA17Chr5	-	32456533	32459734	-1.64217903355931	0.0448235729227577	DOWN	2.11904921376266	0.000113165724391812	UP
DOWN	A86_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr6g0467631	MtrunA17Chr6g0467631			medtr.A17.gnm5.MtrunA17Chr6	-	16560875	16564797	-2.88104190175343	0.0126681635801467	DOWN	1.80129147234403	0.026469582898167	UP
