direction	region	gene_id	gene_name	acronym	geneProduct	chr	strand	start	end	A86_logFC	A86_FDR	A86_sig	A485_logFC	A485_FDR	A485_sig
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0109001	MtrunA17Chr3g0109001			medtr.A17.gnm5.MtrunA17Chr3	-	32062230	32070790	-1.79001792513851	0.999999979788073	NS	-9.74993565939822	0.0337909488920686	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0109011	MtrunA17Chr3g0109011			medtr.A17.gnm5.MtrunA17Chr3	-	32074888	32077241	-1.82147240403317	0.891537374051929	NS	-9.20664086180967	0.00273132987403346	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0420481	MtrunA17Chr5g0420481			medtr.A17.gnm5.MtrunA17Chr5	-	20974409	20974527	-3.28182491632013	0.119283333355921	NS	-8.11626398645129	0.0078423246039406	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0109021	MtrunA17Chr3g0109021			medtr.A17.gnm5.MtrunA17Chr3	-	32080332	32082748	-1.23785821770305	0.999999979788073	NS	-7.9569671412565	0.011522631145323	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0113091	MtrunA17Chr3g0113091			medtr.A17.gnm5.MtrunA17Chr3	-	34878221	34880568	-1.92466125091185	0.286051146905122	NS	-7.92302951400002	0.00109236796782711	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0071111	MtrunA17Chr4g0071111	MtCKX2	cytokinin oxidase 2	medtr.A17.gnm5.MtrunA17Chr4	+	60586321	60590025	-0.986766863152413	0.999999979788073	NS	-7.7058237267134	0.00455771482900966	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0092881	MtrunA17Chr3g0092881	MtLegin38	Leginsulin	medtr.A17.gnm5.MtrunA17Chr3	+	14497186	14497661	-1.92317218282659	0.316901530889254	NS	-7.6955752611523	0.000551669657118166	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0090381	MtrunA17Chr3g0090381			medtr.A17.gnm5.MtrunA17Chr3	+	11742880	11743257	-4.26369482559605	0.0508920756097426	NS	-7.47262280198402	0.00799949654544002	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0009671	MtrunA17Chr4g0009671			medtr.A17.gnm5.MtrunA17Chr4	+	7510712	7516104	-1.80367333588237	0.608700567163759	NS	-7.37856297576007	0.0117693780046394	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0396191	MtrunA17Chr5g0396191			medtr.A17.gnm5.MtrunA17Chr5	+	1850563	1851761	-3.77021749162251	0.100894778182725	NS	-7.35399264953889	0.0136813411013462	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0376891	MtrunA17Chr8g0376891			medtr.A17.gnm5.MtrunA17Chr8	+	38361841	38363772	-1.58408915020118	0.977352533302831	NS	-7.31520926072065	0.00161247700099227	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0099201	MtrunA17Chr3g0099201			medtr.A17.gnm5.MtrunA17Chr3	-	24023093	24025124	-0.254212082392642	0.999999979788073	NS	-7.07492824576528	0.0314580365583876	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0108941	MtrunA17Chr3g0108941			medtr.A17.gnm5.MtrunA17Chr3	-	32024035	32026642	-1.07333939700368	0.999999979788073	NS	-6.92121196515767	0.0159998428738675	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr2g0322101	MtrunA17Chr2g0322101			medtr.A17.gnm5.MtrunA17Chr2	+	42893634	42895138	-0.974014918186805	0.999999979788073	NS	-6.83953256750146	0.0168413191746919	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0264751	MtrunA17Chr7g0264751			medtr.A17.gnm5.MtrunA17Chr7	-	48228954	48232670	-2.02814301768732	0.388761306717202	NS	-6.71554212122006	0.00690813540963752	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0408981	MtrunA17Chr5g0408981			medtr.A17.gnm5.MtrunA17Chr5	+	10888208	10890307	-2.20409892201928	0.262866420141194	NS	-6.57415357494668	0.000547804998841533	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0443361	MtrunA17Chr5g0443361			medtr.A17.gnm5.MtrunA17Chr5	+	41193696	41195089	-3.30578257214931	0.0799846490166738	NS	-6.51471054853728	0.00700981775515384	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr6g0457101	MtrunA17Chr6g0457101			medtr.A17.gnm5.MtrunA17Chr6	-	6882012	6890623	-1.98515448912356	0.394759505284947	NS	-6.50844502985517	0.00716571597964586	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0089451	MtrunA17Chr3g0089451			medtr.A17.gnm5.MtrunA17Chr3	+	10647267	10648374	-2.8762659234472	0.173613093848558	NS	-6.45901969591086	0.0128593672416816	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0142101	MtrunA17Chr3g0142101			medtr.A17.gnm5.MtrunA17Chr3	+	56132597	56135989	-1.1332684955354	0.999999979788073	NS	-6.43707257101555	0.0257333836912223	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0335311	MtrunA17Chr8g0335311	MtEDN1	ERF differentially regulated during nodulation 1	medtr.A17.gnm5.MtrunA17Chr8	-	859107	860142	-1.93439315256654	0.60612010672427	NS	-6.43694382997889	0.00375947449040324	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0388191	MtrunA17Chr8g0388191			medtr.A17.gnm5.MtrunA17Chr8	+	46128338	46128894	-3.13425990238896	0.182209177924525	NS	-6.34221755690302	0.0205785087855066	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0022891	MtrunA17Chr4g0022891	MtMYB016	Myeloblastosis (MYB) transcription factor 16	medtr.A17.gnm5.MtrunA17Chr4	-	23002221	23004699	-2.75543554372255	0.159983997316355	NS	-6.34004834842867	0.00825561245199842	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr6g0488721	MtrunA17Chr6g0488721			medtr.A17.gnm5.MtrunA17Chr6	-	42632426	42638516	-2.35183478878658	0.473777345902134	NS	-6.23455937263707	0.034972033304152	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0052981	MtrunA17Chr4g0052981			medtr.A17.gnm5.MtrunA17Chr4	+	46946984	46948332	-0.529563323541154	0.999999979788073	NS	-6.14288353249213	0.0173809197617195	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr2g0301601	MtrunA17Chr2g0301601			medtr.A17.gnm5.MtrunA17Chr2	-	19327464	19328247	-1.91382547990157	0.233311887118537	NS	-6.07587482154901	0.000172551005032311	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr2g0300451	MtrunA17Chr2g0300451			medtr.A17.gnm5.MtrunA17Chr2	+	18204238	18205379	-1.68564083028715	0.729107730569933	NS	-6.02513991980555	0.0176895250716479	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0260861	MtrunA17Chr7g0260861	MtIDA41	Inflorescence Deficient in Abscission	medtr.A17.gnm5.MtrunA17Chr7	-	45537419	45537970	-2.81139786579587	0.138428788399674	NS	-6.01929350653757	0.00764882513900602	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0094521	MtrunA17Chr3g0094521			medtr.A17.gnm5.MtrunA17Chr3	+	17393314	17394598	-1.0613890315366	0.999999979788073	NS	-5.89492231108225	0.0453245182244561	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr6g0478991	MtrunA17Chr6g0478991			medtr.A17.gnm5.MtrunA17Chr6	+	33589608	33591250	-5.89033580345173	0.0696152817323335	NS	-5.89033580345173	0.036914030045659	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr7g0251281	MtrunA17Chr7g0251281			medtr.A17.gnm5.MtrunA17Chr7	-	38474226	38475195	-1.28726578286854	0.999999979788073	NS	-5.88692714158729	0.00263888272524739	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0143501	MtrunA17Chr3g0143501			medtr.A17.gnm5.MtrunA17Chr3	-	57056694	57058313	-5.83685114789642	0.0799846490166738	NS	-5.83685114789642	0.0429821064543752	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0072611	MtrunA17Chr4g0072611			medtr.A17.gnm5.MtrunA17Chr4	+	61662250	61663533	-0.941464526818189	0.999999979788073	NS	-5.75448904839412	0.00348189448308413	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0105691	MtrunA17Chr3g0105691			medtr.A17.gnm5.MtrunA17Chr3	-	29618099	29620575	-0.414066043382198	0.999999979788073	NS	-5.68566979187478	0.0338494065512329	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr6g0485211	MtrunA17Chr6g0485211			medtr.A17.gnm5.MtrunA17Chr6	+	39730426	39731050	-2.21301747774268	0.128031327657509	NS	-5.62953747832881	0.000399334929687907	DOWN
DOWN	A485_only	medtr.A17.gnm5.ann1_6.MtrunA17Chr2g0323181	MtrunA17Chr2g0323181			medtr.A17.gnm5.MtrunA17Chr2	+	43767948	43768334	-2.02280243429219	0.548939423366323	NS	-5.60555620675585	0.0287590629019879	DOWN
