ID,iptm,ptm,ranking_score,fraction_disordered
244_100,0.36,0.51,0.5,0.23
244_591,0.17,0.5,0.33,0.2
244_238,0.26,0.66,0.41,0.14
244_474,0.13,0.41,0.34,0.3
244_638,0.24,0.6,0.4,0.18
244_231,0.19,0.49,0.36,0.21
244_465,0.35,0.42,0.5,0.29
244_614,0.16,0.43,0.4,0.37
244_343,0.17,0.48,0.35,0.23
244_309,0.22,0.54,0.36,0.15
244_283,0.3,0.52,0.45,0.21
244_450,0.25,0.56,0.41,0.2
244_287,0.29,0.49,0.51,0.35
244_028,0.16,0.44,0.38,0.33
244_201,0.26,0.71,0.4,0.1
244_063,0.14,0.45,0.36,0.32
244_260,0.25,0.6,0.41,0.17
244_369,0.23,0.56,0.4,0.2
244_353,0.16,0.5,0.39,0.32
244_235,0.3,0.48,0.47,0.27
244_229,0.21,0.46,0.4,0.28
244_101,0.19,0.51,0.36,0.21
244_564,0.2,0.39,0.36,0.23
244_610,0.16,0.44,0.33,0.24
244_394,0.5,0.47,0.65,0.32
244_593,0.23,0.43,0.44,0.33
244_207,0.17,0.53,0.34,0.2
244_634,0.24,0.57,0.52,0.43
244_621,0.17,0.67,0.35,0.16
244_557,0.25,0.46,0.39,0.2
244_321,0.14,0.48,0.35,0.28
244_059,0.25,0.32,0.54,0.55
244_650,0.28,0.43,0.45,0.28
244_373,0.21,0.54,0.38,0.2
244_076,0.29,0.5,0.49,0.31
244_458,0.16,0.51,0.33,0.2
244_402,0.13,0.45,0.33,0.28
244_499,0.17,0.56,0.33,0.17
244_145,0.18,0.51,0.35,0.2
244_472,0.14,0.47,0.31,0.2
244_151,0.22,0.61,0.38,0.16
244_407,0.2,0.42,0.37,0.26
244_406,0.3,0.67,0.46,0.17
244_570,0.22,0.47,0.41,0.27
244_320,0.22,0.63,0.37,0.14
244_532,0.17,0.49,0.34,0.21
244_161,0.13,0.44,0.49,0.59
244_409,0.28,0.41,0.45,0.28
244_626,0.26,0.45,0.45,0.3
244_632,0.15,0.41,0.34,0.27
244_087,0.12,0.43,0.31,0.26
244_521,0.14,0.46,0.31,0.21
244_391,0.23,0.52,0.4,0.22
244_297,0.23,0.71,0.39,0.12
244_525,0.1,0.45,0.38,0.42
244_607,0.11,0.59,0.3,0.19
244_317,0.11,0.6,0.31,0.19
244_125,0.16,0.42,0.35,0.28
244_038,0.22,0.49,0.43,0.31
244_095,0.18,0.44,0.4,0.35
244_422,0.41,0.47,0.54,0.23
244_622,0.22,0.58,0.37,0.16
244_647,0.22,0.37,0.53,0.56
244_648,0.24,0.43,0.37,0.18
244_212,0.25,0.6,0.4,0.17
244_176,0.42,0.42,0.56,0.28
244_244,0.22,0.58,0.38,0.17
244_263,0.38,0.41,0.54,0.3
244_098,0.58,0.51,0.68,0.24
244_456,0.14,0.43,0.32,0.24
244_613,0.43,0.43,0.56,0.26
244_528,0.15,0.49,0.38,0.32
244_494,0.15,0.47,0.34,0.24
244_383,0.22,0.56,0.4,0.22
244_203,0.37,0.53,0.57,0.34
244_405,0.31,0.49,0.45,0.22
244_640,0.18,0.54,0.36,0.21
244_596,0.16,0.5,0.33,0.21
244_073,0.22,0.51,0.38,0.21
244_265,0.22,0.52,0.49,0.43
244_013,0.21,0.41,0.38,0.26
244_423,0.22,0.44,0.4,0.28
244_595,0.22,0.58,0.39,0.19
244_347,0.26,0.5,0.42,0.22
244_305,0.26,0.45,0.43,0.27
244_164,0.24,0.46,0.39,0.2
244_629,0.08,0.5,0.41,0.49
244_075,0.37,0.44,0.53,0.29
244_386,0.16,0.5,0.33,0.21
244_577,0.13,0.48,0.47,0.54
244_077,0.17,0.48,0.41,0.34
244_050,0.15,0.47,0.32,0.21
244_160,0.12,0.61,0.3,0.18
244_509,0.19,0.49,0.36,0.21
244_193,0.17,0.41,0.35,0.27
244_448,0.19,0.51,0.35,0.19
244_148,0.21,0.53,0.38,0.23
244_433,0.18,0.43,0.33,0.21
244_331,0.15,0.6,0.32,0.16
244_315,0.3,0.53,0.44,0.2
244_421,0.18,0.48,0.34,0.2
244_143,0.26,0.52,0.42,0.21
244_348,0.2,0.65,0.36,0.14
244_545,0.22,0.39,0.43,0.35
244_536,0.37,0.57,0.5,0.18
244_403,0.29,0.46,0.44,0.23
244_245,0.14,0.44,0.35,0.29
244_107,0.11,0.48,0.35,0.34
244_029,0.36,0.46,0.54,0.32
244_008,0.18,0.51,0.37,0.23
244_153,0.2,0.47,0.37,0.23
244_150,0.16,0.53,0.34,0.2
244_065,0.21,0.49,0.41,0.29
244_003,0.16,0.54,0.34,0.2
244_152,0.15,0.41,0.32,0.24
244_447,0.18,0.47,0.35,0.22
244_364,0.15,0.41,0.33,0.25
244_340,0.25,0.53,0.38,0.15
244_337,0.16,0.4,0.41,0.4
244_431,0.21,0.56,0.36,0.17
244_017,0.18,0.42,0.37,0.29
244_257,0.22,0.47,0.41,0.29
244_032,0.17,0.55,0.47,0.45
244_560,0.2,0.5,0.39,0.25
244_645,0.18,0.4,0.39,0.33
244_586,0.17,0.59,0.33,0.13
244_118,0.17,0.41,0.34,0.26
244_097,0.16,0.48,0.45,0.45
244_272,0.35,0.53,0.62,0.46
244_234,0.3,0.41,0.47,0.29
244_173,0.23,0.55,0.41,0.23
244_302,0.2,0.53,0.37,0.22
244_620,0.29,0.43,0.47,0.3
244_530,0.13,0.52,0.31,0.2
244_121,0.22,0.51,0.4,0.24
244_056,0.18,0.49,0.39,0.3
244_172,0.15,0.52,0.32,0.19
244_652,0.24,0.36,0.56,0.6
244_113,0.27,0.62,0.42,0.17
244_497,0.25,0.49,0.44,0.28
244_282,0.22,0.42,0.4,0.28
244_618,0.1,0.48,0.39,0.41
244_102,0.14,0.44,0.36,0.31
244_576,0.2,0.56,0.38,0.2
244_395,0.24,0.42,0.42,0.28
244_627,0.21,0.49,0.46,0.4
244_199,0.29,0.51,0.44,0.22
244_547,0.25,0.56,0.53,0.44
244_563,0.13,0.49,0.38,0.35
244_290,0.17,0.58,0.33,0.14
244_082,0.13,0.39,0.42,0.47
244_425,0.13,0.5,0.31,0.21
244_169,0.16,0.44,0.37,0.3
244_375,0.2,0.51,0.37,0.2
244_300,0.35,0.49,0.55,0.35
244_467,0.19,0.59,0.35,0.16
244_117,0.15,0.52,0.33,0.21
244_091,0.18,0.42,0.37,0.3
244_417,0.52,0.6,0.62,0.15
244_567,0.13,0.52,0.45,0.48
244_382,0.18,0.41,0.36,0.26
244_047,0.15,0.45,0.41,0.39
244_303,0.31,0.58,0.47,0.21
244_401,0.21,0.59,0.38,0.18
244_566,0.12,0.58,0.3,0.18
244_206,0.53,0.51,0.63,0.22
244_215,0.14,0.48,0.32,0.22
244_616,0.19,0.48,0.36,0.23
244_057,0.13,0.49,0.46,0.5
244_643,0.11,0.47,0.44,0.52
244_336,0.11,0.42,0.36,0.38
244_099,0.28,0.49,0.44,0.24
244_289,0.17,0.41,0.41,0.37
244_094,0.29,0.49,0.46,0.26
244_438,0.17,0.66,0.34,0.14
244_562,0.19,0.46,0.36,0.24
244_200,0.21,0.51,0.42,0.3
244_086,0.23,0.46,0.43,0.31
244_009,0.54,0.57,0.76,0.42
244_055,0.48,0.49,0.64,0.31
244_242,0.28,0.58,0.45,0.21
244_644,0.26,0.27,0.47,0.41
244_048,0.26,0.67,0.42,0.14
244_453,0.22,0.58,0.38,0.18
244_488,0.22,0.48,0.4,0.27
244_259,0.22,0.46,0.41,0.28
244_068,0.34,0.4,0.51,0.31
244_372,0.17,0.5,0.35,0.24
244_135,0.23,0.61,0.38,0.15
244_085,0.15,0.38,0.32,0.24
244_225,0.18,0.57,0.35,0.18
244_275,0.29,0.44,0.44,0.23
244_279,0.24,0.42,0.45,0.34
244_446,0.18,0.4,0.35,0.26
244_255,0.29,0.4,0.47,0.3
244_128,0.15,0.52,0.32,0.2
244_583,0.14,0.51,0.34,0.25
244_179,0.23,0.53,0.39,0.19
244_493,0.17,0.39,0.35,0.28
244_639,0.39,0.56,0.53,0.2
244_602,0.14,0.51,0.34,0.24
244_428,0.27,0.55,0.44,0.22
244_346,0.13,0.43,0.43,0.48
244_443,0.38,0.61,0.53,0.21
244_006,0.14,0.49,0.37,0.33
244_204,0.37,0.63,0.5,0.16
244_296,0.24,0.49,0.5,0.42
244_294,0.15,0.52,0.32,0.19
244_580,0.2,0.43,0.4,0.31
244_600,0.7,0.6,0.79,0.22
244_631,0.22,0.35,0.31,0.13
244_384,0.14,0.46,0.38,0.34
244_333,0.17,0.37,0.42,0.43
244_224,0.16,0.4,0.44,0.46
244_477,0.26,0.57,0.4,0.17
244_624,0.15,0.43,0.36,0.3
244_280,0.2,0.45,0.43,0.36
244_221,0.15,0.52,0.33,0.22
244_192,0.12,0.38,0.32,0.29
244_328,0.22,0.49,0.39,0.24
244_478,0.63,0.68,0.73,0.18
244_262,0.12,0.51,0.3,0.21
244_140,0.19,0.34,0.34,0.24
244_111,0.18,0.45,0.39,0.32
244_462,0.15,0.48,0.32,0.21
244_555,0.22,0.45,0.39,0.26
244_519,0.16,0.51,0.39,0.33
244_267,0.19,0.44,0.42,0.37
244_516,0.33,0.56,0.47,0.2
244_413,0.15,0.58,0.31,0.16
244_304,0.24,0.44,0.42,0.28
244_011,0.19,0.52,0.44,0.37
244_552,0.2,0.5,0.44,0.36
244_440,0.17,0.41,0.35,0.27
244_070,0.24,0.44,0.42,0.27
244_019,0.24,0.52,0.47,0.35
244_166,0.26,0.53,0.41,0.2
244_531,0.25,0.72,0.39,0.1
244_539,0.14,0.47,0.31,0.21
244_144,0.14,0.52,0.32,0.21
244_124,0.17,0.44,0.42,0.39
244_084,0.38,0.41,0.53,0.28
244_475,0.44,0.66,0.57,0.16
244_136,0.13,0.46,0.35,0.31
244_041,0.13,0.38,0.32,0.28
244_093,0.13,0.42,0.44,0.51
244_177,0.08,0.41,0.36,0.42
244_408,0.2,0.5,0.35,0.19
244_344,0.21,0.53,0.48,0.42
244_543,0.27,0.46,0.47,0.31
244_553,0.14,0.43,0.35,0.29
244_167,0.21,0.63,0.35,0.12
244_358,0.18,0.55,0.36,0.2
244_523,0.19,0.44,0.38,0.28
244_581,0.31,0.57,0.45,0.17
244_646,0.15,0.41,0.37,0.34
244_534,0.19,0.41,0.35,0.24
244_141,0.13,0.49,0.45,0.49
244_437,0.22,0.51,0.43,0.3
244_288,0.61,0.71,0.71,0.15
