gene_id	gene_name	acronym	geneProduct	chr	strand	start	end	A256_logFC	A256_FDR	A256_sig	A485_logFC	A485_FDR	A485_sig	A86_logFC	A86_FDR	A86_sig	A86256_logFC	A86256_FDR	A86256_sig	A86485_logFC	A86485_FDR	A86485_sig	dnf2_logFC	dnf2_FDR	dnf2_sig
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489101	MtrunA17Chr0c01g0489101			medtr.A17.gnm5.MtrunA17Chr0c01	-	101901	104679	1.43711412066623	0.0732160320943617	NS	1.88916161272303	0.00179203871070501	UP	0.411753258595304	0.999999979788073	NS	1.61302599118101	0.0163948053296918	UP	0.307891826978557	1	NS	1.09964306978526	0.619967385234373	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489161	MtrunA17Chr0c01g0489161			medtr.A17.gnm5.MtrunA17Chr0c01	+	138776	142784	0.0860807719648182	1	NS	1.02769281900865	1	NS	0.96143840922138	0.999999979788073	NS	2.19883220118245	0.171478606734872	NS	0.783984537007598	1	NS	0.262739699482412	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489181	MtrunA17Chr0c01g0489181			medtr.A17.gnm5.MtrunA17Chr0c01	-	159654	162989	0.571454293413653	1	NS	0.883529974694652	1	NS	0.665696971122594	0.999999979788073	NS	0.960552670928358	0.921270382745404	NS	-0.102350559804261	1	NS	-0.0586526965098046	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489191	MtrunA17Chr0c01g0489191			medtr.A17.gnm5.MtrunA17Chr0c01	+	168772	176105	0.744016950909431	1	NS	0.409945745045392	1	NS	1.07678666653452	0.999999979788073	NS	0.388188848325218	1	NS	-0.489618310377982	1	NS	-0.717511419246167	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489201	MtrunA17Chr0c01g0489201			medtr.A17.gnm5.MtrunA17Chr0c01	-	169224	169391	-0.329526027825381	1	NS	-0.222094189503427	1	NS	0.798240250136392	0.999999979788073	NS	-0.65956940846058	1	NS	-0.182811789164285	1	NS	-0.617542138144995	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489261	MtrunA17Chr0c01g0489261	MtIDA20	Inflorescence Deficient in Abscission	medtr.A17.gnm5.MtrunA17Chr0c01	+	308132	308910	-0.40546989967875	1	NS	-0.426784274852429	1	NS	0.315009324162968	0.999999979788073	NS	0.154085353205359	1	NS	-0.0632838630441808	1	NS	1.2674663353684	0.499440813240531	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489311	MtrunA17Chr0c01g0489311			medtr.A17.gnm5.MtrunA17Chr0c01	-	420280	423535	-1.77031460847411	0.28266992092514	NS	-1.82628994660909	0.240408925623076	NS	-0.822168765058035	0.999999979788073	NS	-1.83147483298138	0.223827529631897	NS	-0.381679681588192	1	NS	0.0356456778350295	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489321	MtrunA17Chr0c01g0489321			medtr.A17.gnm5.MtrunA17Chr0c01	-	424903	427129	-1.12478523571971	0.629263036181343	NS	-0.903957977056974	1	NS	-0.871536450292552	0.999999979788073	NS	-0.677183863831033	1	NS	-0.0704282217053046	1	NS	0.881497160614915	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489391	MtrunA17Chr0c01g0489391			medtr.A17.gnm5.MtrunA17Chr0c01	+	568489	569027	-0.821889331517593	1	NS	0.134858265308527	1	NS	-0.889765972474823	0.999999979788073	NS	-0.377953557233055	1	NS	-0.757384983173581	1	NS	-0.825562038343849	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489401	MtrunA17Chr0c01g0489401			medtr.A17.gnm5.MtrunA17Chr0c01	+	569301	590204	0.0118200967925975	1	NS	-0.446903578952551	1	NS	-0.19941908063687	0.999999979788073	NS	-0.414119931041693	1	NS	0.108714598297921	1	NS	-0.216244447289687	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489411	MtrunA17Chr0c01g0489411			medtr.A17.gnm5.MtrunA17Chr0c01	+	591569	594620	-0.378300057987477	1	NS	-1.41351092637752	0.473738649687276	NS	0.406869139382494	0.999999979788073	NS	-0.662791738910851	1	NS	-0.782406182500735	1	NS	-0.290933849617129	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489441	MtrunA17Chr0c01g0489441			medtr.A17.gnm5.MtrunA17Chr0c01	-	692774	693255	-1.43123882881979	0.646453196622038	NS	-3.81316079549586	0.063720163006482	NS	-0.679718277824739	0.999999979788073	NS	-1.38026321478996	0.630394590996635	NS	-1.35571173385084	0.89317277953176	NS	-0.480450458011423	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489471	MtrunA17Chr0c01g0489471			medtr.A17.gnm5.MtrunA17Chr0c01	-	827207	830160	-0.858590479208601	1	NS	-0.927615668041013	1	NS	-0.758853617213339	0.999999979788073	NS	-1.41124801481659	0.140378544405123	NS	0.0691095294665041	1	NS	-0.676470179352694	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489481	MtrunA17Chr0c01g0489481			medtr.A17.gnm5.MtrunA17Chr0c01	+	832041	837257	-0.180613308554037	1	NS	-0.215900295485792	1	NS	-0.203635497144583	0.999999979788073	NS	-0.351769794000595	1	NS	-0.339350218635173	1	NS	-0.0975153183207659	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489491	MtrunA17Chr0c01g0489491			medtr.A17.gnm5.MtrunA17Chr0c01	-	838108	840712	-0.669399051821617	1	NS	-0.403077159103452	1	NS	-0.43709398234222	0.999999979788073	NS	-0.373027888293363	1	NS	-0.533167822471382	1	NS	-0.332401860848441	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c01g0489641	MtrunA17Chr0c01g0489641			medtr.A17.gnm5.MtrunA17Chr0c01	-	1203885	1205175	1.34246483628589	0.308243000751778	NS	1.61390248306224	0.0807785773260671	NS	0.2565460449262	0.999999979788073	NS	1.62973545119068	0.0707108909261026	NS	-1.4213788588493	0.383353968651967	NS	-0.869102770770211	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c02g0489651	MtrunA17Chr0c02g0489651			medtr.A17.gnm5.MtrunA17Chr0c02	+	24821	31148	-0.114358705786016	1	NS	0.0613161549355534	1	NS	-0.0542565829709472	0.999999979788073	NS	0.326190340433175	1	NS	0.148133993980039	1	NS	0.0831290284271911	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c02g0489661	MtrunA17Chr0c02g0489661			medtr.A17.gnm5.MtrunA17Chr0c02	-	31202	38725	0.065649427169281	1	NS	-0.117508545697956	1	NS	0.144284239554978	0.999999979788073	NS	-0.0347876068841755	1	NS	0.300460516421654	1	NS	0.251436386849115	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c02g0489681	MtrunA17Chr0c02g0489681			medtr.A17.gnm5.MtrunA17Chr0c02	+	84807	86098	0.491057825760886	1	NS	0.638646546706494	1	NS	0.60438418609837	0.999999979788073	NS	0.492004239334952	1	NS	-0.840420603405018	1	NS	-0.763119055148531	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c02g0489691	MtrunA17Chr0c02g0489691	MtNCR503	Nodule-specific Cysteine-Rich peptide	medtr.A17.gnm5.MtrunA17Chr0c02	+	91573	92269	-0.743483881805802	1	NS	-0.359681763220121	1	NS	0.196876516921557	0.999999979788073	NS	-0.108999010745608	1	NS	-2.20935836869077	0.191517187498895	NS	-1.09085740552087	0.933198300328161	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c02g0489701	MtrunA17Chr0c02g0489701			medtr.A17.gnm5.MtrunA17Chr0c02	+	92703	93418	-0.811486710604144	1	NS	0.402308306285349	1	NS	0.378245244324742	0.999999979788073	NS	-0.568164662115963	1	NS	-2.54525776811114	0.0993326165720079	NS	-0.700850230681251	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c02g0489751	MtrunA17Chr0c02g0489751			medtr.A17.gnm5.MtrunA17Chr0c02	+	332112	344789	0.422246576507309	1	NS	0.814835745528788	1	NS	0.110549959159865	0.999999979788073	NS	0.988168175826346	0.895776366093284	NS	-0.101152166726962	1	NS	0.177809960289877	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c03g0490011	MtrunA17Chr0c03g0490011			medtr.A17.gnm5.MtrunA17Chr0c03	+	60800	63744	-0.115222159149494	1	NS	-0.323598450902748	1	NS	-0.300016521767162	0.999999979788073	NS	-0.295308886595914	1	NS	-0.501313912252653	1	NS	-0.738867144850971	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c03g0490031	MtrunA17Chr0c03g0490031			medtr.A17.gnm5.MtrunA17Chr0c03	-	74507	79819	-1.24285484736055	0.593130520366312	NS	-0.118881414961788	1	NS	-0.842433038837114	0.999999979788073	NS	0.565006865333208	1	NS	0.544453935193098	1	NS	0.530251024894775	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c04g0492001	MtrunA17Chr0c04g0492001			medtr.A17.gnm5.MtrunA17Chr0c04	+	44875	47702	2.77155369104661	0.0941679279521789	NS	3.5541885785769	0.0112617798349354	UP	2.39289513196425	0.37794773954475	NS	3.09037495775385	0.0383000454943452	UP	-1.0251593650364	1	NS	-0.219054516343261	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c04g0492021	MtrunA17Chr0c04g0492021			medtr.A17.gnm5.MtrunA17Chr0c04	-	78450	83276	0.46332410084824	1	NS	0.343891323603713	1	NS	0.148846395123592	0.999999979788073	NS	0.336835743102354	1	NS	-0.408867962133793	1	NS	-0.592108886359961	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c04g0492031	MtrunA17Chr0c04g0492031			medtr.A17.gnm5.MtrunA17Chr0c04	-	120573	123281	4.95735429514234	0.00248217136909643	UP	5.26804406366252	0.000988910057922671	UP	4.11283098410061	0.0501072120941237	NS	5.14804867042077	0.00125832066364018	UP	0.394725004832565	1	NS	2.05026173434918	0.698838262894108	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c05g0492121	MtrunA17Chr0c05g0492121			medtr.A17.gnm5.MtrunA17Chr0c05	-	20956	23796	1.50136259373281	0.518842803122552	NS	0.402742720709075	1	NS	0.206690357362503	0.999999979788073	NS	0.772860800755397	1	NS	1.39156584182357	0.811527833730006	NS	0.581244655341589	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c05g0492131	MtrunA17Chr0c05g0492131			medtr.A17.gnm5.MtrunA17Chr0c05	-	25819	32382	-0.192336524155747	1	NS	-0.368714877246594	1	NS	-0.103418241932857	0.999999979788073	NS	-0.974904391875247	0.932902574695874	NS	1.17296893225807	0.929775740756798	NS	0.959341199235672	0.996706981551443	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c06g0493471	MtrunA17Chr0c06g0493471			medtr.A17.gnm5.MtrunA17Chr0c06	-	29947	33519	0.332354999898905	1	NS	-0.120620413277409	1	NS	0.191005826006089	0.999999979788073	NS	0.272138260363254	1	NS	-1.37182879241657	0.470585907730141	NS	-0.72081063582461	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c06g0493481	MtrunA17Chr0c06g0493481			medtr.A17.gnm5.MtrunA17Chr0c06	+	81124	89522	0.881234950837614	1	NS	0.738938493714325	1	NS	0.327134255387991	0.999999979788073	NS	0.707429317153926	1	NS	-0.030835147193602	1	NS	0.00346892722914181	1	NS
medtr.A17.gnm5.ann1_6.MtrunA17Chr0c09g0493491	MtrunA17Chr0c09g0493491			medtr.A17.gnm5.MtrunA17Chr0c09	-	1907	5319	-0.685640417930869	1	NS	-1.81038140291024	0.166206110588193	NS	-0.244983741420689	0.999999979788073	NS	-0.85013985241934	1	NS	0.226859097178802	1	NS	-0.156053239857698	1	NS
